trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
320,True,171.0,False,,,0.6983080087358624,True,True,False,,,,41.647733801023556
321,True,168.0,False,,,0.9998753002620626,True,True,False,,,,53.88138761460686
322,False,,False,,,,False,False,False,,,,
323,False,,False,,,,False,False,False,,,,
324,False,,False,,,,False,False,False,,,,
325,True,121.0,False,,,0.9919326066082895,True,True,False,,,,48.16745384359659
326,True,71.0,False,,,0.1352158613313843,True,False,True,,,,11.068519986336586
327,True,113.0,False,,,0.39559889826143824,True,True,False,,,,36.119922555691296
328,True,148.0,False,,,0.9999863356358109,True,True,False,,,,56.90880645048102
329,False,,False,,,,False,False,False,,,,
330,False,,False,,,,False,False,False,,,,
331,False,,False,,,,False,False,False,,,,
332,True,115.0,False,,,0.4140192910986783,True,True,False,,,,36.90568342865573
333,False,,False,,,,False,False,False,,,,
334,False,,False,,,,False,False,False,,,,
335,True,205.0,False,,,0.3594315051988818,True,True,False,,,,34.51421136851457
336,True,125.0,False,,,0.8650920261718068,True,True,False,,,,44.10747080846659
337,False,,False,,,,False,False,False,,,,
338,False,,False,,,,False,False,False,,,,
339,True,296.0,False,,,0.255912612402715,True,True,False,,,,29.756503406370243
340,True,205.0,False,,,0.9979219167663174,True,True,False,,,,49.895468076656115
341,False,,False,,,,False,False,False,,,,
342,True,124.0,False,,,0.9999225141229425,True,True,False,,,,54.496046462960415
343,False,,False,,,,False,False,False,,,,
344,True,143.0,False,,,0.9999998909502824,True,True,False,,,,63.885312966079255
345,True,73.0,False,,,0.9988187847929592,True,True,False,,,,50.6871176749725
346,True,85.0,False,,,0.9999890031964268,True,True,False,,,,57.20730771903918
347,False,,False,,,,False,False,False,,,,
348,True,109.0,False,,,0.9999553706430766,True,True,False,,,,55.21822213846045
349,False,,False,,,,False,False,False,,,,
350,True,90.0,False,,,0.9999699777480977,True,True,False,,,,55.77239886827568
351,False,,False,,,,False,False,False,,,,
